bank,market_share,market_share_squared,HHI
the warangal district cooperative central bank,8.923500721259402e-05,7.962886512231707e-09,0.10041754106594854
saptagiri grameena,8.753443627313605e-05,7.662277533655716e-09,0.10041754106594854
surat peoples coop bank,8.452424226406445e-05,7.144347530314259e-09,0.10041754106594854
city union bank,8.438384333523815e-05,7.120633016026015e-09,0.10041754106594854
reserve bank of india,8.366302514323327e-05,6.999501776117282e-09,0.10041754106594854
the municipal cooperative bank,8.358354830780053e-05,6.9862095477224255e-09,0.10041754106594854
jalgaon janata sahakari bank ltd jalgaon,8.268642003239423e-05,6.837044057773526e-09,0.10041754106594854
the baramati sahakari,7.91442811110471e-05,6.263817232584448e-09,0.10041754106594854
janata sahakari bank,7.864133964118925e-05,6.184460300560883e-09,0.10041754106594854
shivalik small finance,7.442331433214084e-05,5.538829716180641e-09,0.10041754106594854
suco souharda sahakari bank,7.06819292879441e-05,4.99593512786593e-09,0.10041754106594854
deogiri nagari sahakari,6.866450164518328e-05,4.714813786181378e-09,0.10041754106594854
thane bharat sahakari bank,6.861104021707647e-05,4.707474839669284e-09,0.10041754106594854
kallappanna awade ichalkaranji janata sahkari,6.774365125371646e-05,4.589202285185159e-09,0.10041754106594854
karnataka bank,6.746467701293413e-05,4.551482644459523e-09,0.10041754106594854
bandhan bank,6.541622813658892e-05,4.279282903618248e-09,0.10041754106594854
tamilnad mercantile bank,6.506850712370941e-05,4.233910619308222e-09,0.10041754106594854
jalgaon peoples coop bank,6.451719180701067e-05,4.162468038662604e-09,0.10041754106594854
meghalaya rural,6.44326450455623e-05,4.151565747567424e-09,0.10041754106594854
kolhapur dist central coop bank,6.339413064737983e-05,4.018815800537063e-09,0.10041754106594854
south indian bank,6.214481083931772e-05,3.861977514254581e-09,0.10041754106594854
rajgurunagar sahakari bank,6.187113443830376e-05,3.828037276682657e-09,0.10041754106594854
the panchmahal district co operative bank,6.135601794219401e-05,3.764560937722833e-09,0.10041754106594854
priyadarshani nagari sahakari bank maryadit,6.0159234611183424e-05,3.6191335090034097e-09,0.10041754106594854
bangiya gramin vikash,6.014919516881786e-05,3.6179256794565414e-09,0.10041754106594854
pune district central cooperative bank,5.979910830204342e-05,3.5759333537195184e-09,0.10041754106594854
the vishweshwar sahakari bank ltd pune,5.96872718181046e-05,3.5625704170883034e-09,0.10041754106594854
kokan mercantile coopbank,5.928513157178293e-05,3.514726825483613e-09,0.10041754106594854
the visakhapatnam cooperative bank,5.8924698402285806e-05,3.4721200818003434e-09,0.10041754106594854
coastal area local,5.821123462168385e-05,3.388547836180725e-09,0.10041754106594854
gujarat state coop bank,5.749062793278121e-05,3.3051723001054833e-09,0.10041754106594854
rbl bank,5.592546422095166e-05,3.1276575483289446e-09,0.10041754106594854
the hasti coop bank,5.3413534093821576e-05,2.85300562439184e-09,0.10041754106594854
the sutex cooperative bank,5.246601310404869e-05,2.752682531034209e-09,0.10041754106594854
sbm,5.2077497826489284e-05,2.712065779867996e-09,0.10041754106594854
the saraswat coop bank,5.182140222874363e-05,2.685457728953235e-09,0.10041754106594854
shri rajkot district cooperative bank,5.094813520886791e-05,2.5957124812610863e-09,0.10041754106594854
janakalyan sahakari bank,4.721929051418081e-05,2.2296613966626058e-09,0.10041754106594854
jila sahakari kendriya bank maryadit,4.666826604324766e-05,2.1779270554833427e-09,0.10041754106594854
samarth sahakari bank ltd solapur,4.577965444245361e-05,2.0957767608704624e-09,0.10041754106594854
pochampally cooperative urban bank,4.392294604410236e-05,1.9292251891931273e-09,0.10041754106594854
prime cooperative bank,4.3799978348142685e-05,1.918438103297768e-09,0.10041754106594854
the haryana state cooperative apex bank,4.3469142698130784e-05,1.8895663669104567e-09,0.10041754106594854
bombay mercantile co operative bank,4.319806311128574e-05,1.8660726565666258e-09,0.10041754106594854
the ahmednagar district central coop bank,4.316238616228811e-05,1.8629915792224804e-09,0.10041754106594854
the greater bombay,4.228795778813373e-05,1.7882713738909798e-09,0.10041754106594854
arunachal pradesh rural,4.126111506685201e-05,1.7024796165600022e-09,0.10041754106594854
