entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%
the nalgonda dist coop central bank,1043.234043,939.6732569,0.002493105,0.002245616
sant sopankaka sahakari bank,1018.240765,945.4372536,0.002433376,0.002259391
the banaskantha mercantile cooperative bank,1016.362497,957.2220164,0.002428887,0.002287554
rajarambapu sahakari bank ltd peth,971.7787631,729.9230416,0.002322342,0.001744358
dattatray maharaj kalambe jaoli sahakari bank,967.8197085,946.5190021,0.002312881,0.002261976
vikas souharda cooperative bank,965.707628,990.4960822,0.002307833,0.002367072
dharmapuri district central coop bank,944.9278803,854.7336461,0.002258174,0.002042629
the muslim cooperative bank ltd pune,939.6309872,922.3039187,0.002245516,0.002204107
saraspur nagrik coop bank,919.2651966,787.7343152,0.002196846,0.001882515
the vijayapura district central cooperative bank ltd vijayapura,918.2618988,727.390678,0.002194448,0.001738307
the bellary dist cooperative central bank,916.9718635,645.0933721,0.002191365,0.001541634
the kolhapur urban coop,916.955258,779.3224819,0.002191326,0.001862412
ambajogai peoples cooperative bank,899.816463,885.2410324,0.002150367,0.002115535
smriti nagrik sahakari bank maryadit mandsaur,895.0348799,814.2211916,0.002138941,0.001945813
svc co operative bank,894.7130042,1192.328797,0.002138171,0.002849408
the meghalaya cooperative apex bank,891.856545,774.7681356,0.002131345,0.001851529
jila sahkari kendriya bank maryadit khargone,887.9022519,704.6572609,0.002121895,0.001683979
sunderlal sawji urban coop bank ltd jintur,885.7766054,904.9185075,0.002116815,0.00216256
deendayal nagri sahakari bank,880.9275114,807.9336344,0.002105227,0.001930787
sharad sahakari bank,874.7391368,919.4788948,0.002090438,0.002197356
kanaka mahalakshmi cooperative bank,868.3201689,859.1148471,0.002075098,0.002053099
shri veershaiv cooperative bank,831.4419894,694.4582558,0.001986967,0.001659605
adarsh cooperative bank rajasthan,787.2247468,1150.494196,0.001881298,0.002749433
nutan nagarik sahakari bank,785.8321466,845.7918527,0.00187797,0.00202126
the chamba urban cooperative bank,785.3017094,765.2144399,0.001876702,0.001828697
ambarnath jai hind co operative bank,759.3086224,667.5711339,0.001814584,0.001595351
tjsb sahakari bank,742.0684056,936.0494463,0.001773384,0.002236956
the bharat coop bank mumbai,741.1571558,1060.704606,0.001771206,0.002534855
poornawdi nagrik sahakari bank,734.8384586,799.0205274,0.001756106,0.001909486
sarvodaya commercial coop bank,734.2515363,801.8788239,0.001754703,0.001916317
saibaba nagari sahakari bank maryadit sailu,731.493461,627.424144,0.001748112,0.001499408
associate coop bank,726.7335805,626.7066476,0.001736737,0.001497694
arvind sahakari bank,714.204194,629.7147233,0.001706794,0.001504882
jalna merchants coop bank ltd jalna,709.4136811,765.4547842,0.001695346,0.001829272
bhadradri cooperative urban bank,706.0140648,681.9226356,0.001687222,0.001629648
citizen credit cooperative bank,701.8832058,624.6644603,0.00167735,0.001492813
krishna bhima samruddhi local area,689.2286119,709.7947305,0.001647108,0.001696256
the karnavati co operative bank,661.8176294,576.2459772,0.001581602,0.001377103
shri warana sahakari bank,658.6591479,612.8985988,0.001574053,0.001464695
mahesh sahakari bank,638.872642,770.6897864,0.001526768,0.001841782
the tiruchirappalli district central cooperative bank,631.3828073,613.5387571,0.001508869,0.001466225
mehsana urban coop,627.158237,594.6117117,0.001498773,0.001420994
the varachha coop bank,620.9077456,487.9001012,0.001483836,0.001165976
the adilabad district coop central bank,597.2498357,502.6395765,0.001427298,0.0012012
the city cooperative bank,582.2834368,558.522075,0.001391532,0.001334747
vaishya nagari sahakari bank,574.4335741,684.3190128,0.001372772,0.001635375
the chembur nagrik sahakari bank,560.1392858,537.1240714,0.001338612,0.001283611
the urban co operative bank,559.8089836,608.4510549,0.001337823,0.001454067
the chennai central cooperative bank,554.748142,702.6604852,0.001325729,0.001679207
fingrowth cooperative bank,554.5418354,544.5392623,0.001325236,0.001301331
mumbai distcentral coopbank,551.0019353,734.0467378,0.001316776,0.001754213
tripura state co operative bank,550.2088246,370.0269714,0.001314881,0.000884285
janata sahakari bank ltdpune,543.3700966,484.360721,0.001298537,0.001157518
akhand anand coop bank,540.2867506,454.0015453,0.001291169,0.001084966
ahmedabad district coop bank,528.7199774,502.169256,0.001263527,0.001200076
the abhinav sahakari bank,528.0235084,485.1464276,0.001261862,0.001159395
the chittoor district coop central bank,526.4411247,529.6116583,0.001258081,0.001265657
urban cooperative bank ltd bareilly,524.4834288,455.6335562,0.001253402,0.001088866
pavana sahakari bank ltd pune,520.6444016,431.0678059,0.001244228,0.001030159
dindigul district central,515.9322839,476.1173635,0.001232967,0.001137818
the kottakkal cooperative urban bank,504.7548485,457.6189377,0.001206255,0.00109361
the satara sahakari bank,502.3352382,468.5117487,0.001200473,0.001119642
the panipat urban cooperative bank,500.5813676,574.3030483,0.001196282,0.00137246
tirupati urban cooperative bank,498.5604996,431.2954539,0.001191452,0.001030703
the district central co op bank ltd khammam,495.5214205,499.510372,0.001184189,0.001193722
pusad urban coop bank,490.8091275,447.468023,0.001172928,0.001069352
sbpp,489.1202227,365.1146299,0.001168892,0.000872545
bhavnagar district co operative bank,487.8190651,391.1145735,0.001165782,0.000934679
salem district central,485.8224735,450.6829949,0.001161011,0.001077035
lonavala sahakari bank,479.5856722,447.8927081,0.001146106,0.001070367
pune cantonment sahakari bank,476.2330494,434.1099032,0.001138094,0.001037429
the eenadu coopurban bank,476.2288979,443.7281538,0.001138084,0.001060414
hutatma sahakari bank ltd walwa,474.5631665,392.7292047,0.001134104,0.000938538
kancheepuram central,473.6286797,488.404541,0.001131871,0.001167181
the nandura urban coop bank ltd nandura,470.7969052,535.9274538,0.001125103,0.001280751
the maharashtra state,470.6121574,534.0882146,0.001124662,0.001276355
palus sahakari bank,464.3539878,471.8047155,0.001109706,0.001127511
vellore district central,460.7853911,424.5966667,0.001101178,0.001014694
the coimbatore district central coop,452.6529464,445.0664509,0.001081743,0.001063613
sangli district central cooperative bank,449.0492741,400.3553637,0.001073131,0.000956763
the akola janata commercial cooperative bank,448.8724461,627.0187316,0.001072708,0.001498439
the new urban cooperative bank ltd rampur,447.4863817,453.8054378,0.001069396,0.001084497
new india coopbank,443.2519079,400.2000027,0.001059277,0.000956392
prerana co operative bank,439.1150413,368.2232425,0.00104939,0.000879974
the malad sahakari,433.1043206,381.5357799,0.001035026,0.000911788
muzaffarnagar district cooperative bank,424.8888161,346.5173855,0.001015393,0.000828102
chhattisgarh rajya sahakari bank mydt,420.1547677,182.5930898,0.001004079,0.000436358
abhyudaya cooperative bank,417.4594131,577.6125572,0.000997638,0.001380369
the burdwan central co op bank,415.9009075,341.4193079,0.000993914,0.000815918
jalore nagrik sahakari bank,415.0643681,408.9947153,0.000991914,0.000977409
shri arihant coop bank,406.3569778,382.3056699,0.000971106,0.000913628
the sarvodaya sahkari bank,405.0156747,419.3904407,0.0009679,0.001002253
uttar pradesh cooperative bank,397.7860028,336.8137992,0.000950623,0.000804912
bnp paribas bnp,396.91862,89.4720939,0.00094855,0.000213819
jogindra central cooperative bank,395.693234,317.3853689,0.000945622,0.000758482
samarth sahakari bank maryadit jalna,393.5438992,313.5157565,0.000940485,0.000749235
bassein catholic coop bank,392.9601696,390.9431799,0.00093909,0.00093427
pune district central co op bank ltd pdcc,392.5804587,411.5994038,0.000938183,0.000983634
janata sahakari bank ltd ajara,392.4125521,359.1953097,0.000937781,0.000858399
the tiruvannamalai district central coop bank,388.6530536,363.5584061,0.000928797,0.000868826
pune urban coop bank,388.2358772,332.1683056,0.0009278,0.000793811
ahmednagar shahar sahakari bank maryadit,384.8045867,304.475415,0.0009196,0.00072763
dhanalakshmi bank,384.7848568,485.5341572,0.000919553,0.001160322
puduvai bharathiar grama,384.0472149,397.3907047,0.00091779,0.000949678
manvi pattana souharda sahakari bank ni,382.1695244,384.9247349,0.000913303,0.000919887
jana small finance,379.5118005,397.2337936,0.000906951,0.000949303
the nasik road deolali vyapari sahakari bank,376.866987,317.8551748,0.000900631,0.000759605
the nanded merchants coop bank,373.9009213,444.8702425,0.000893543,0.001063144
madurai district central,370.5176856,367.3148662,0.000885457,0.000877803
villupuram district central,369.0846222,337.067128,0.000882033,0.000805518
gp parsik sahakari,362.2822407,475.6575777,0.000865777,0.001136719
shri basaveshwar sahakari bank nyt bagalkot,356.6759684,317.1445785,0.000852379,0.000757907
almora urban cooperative bank,355.5017659,334.9438234,0.000849573,0.000800443
the erode district central cooperative bank,354.5979085,294.9848953,0.000847413,0.00070495
the district cooperative central bank,353.9423463,295.3263263,0.000845846,0.000705766
the bharuch district central coop bank,352.2417383,253.5068445,0.000841782,0.000605827
the kumbakonam central cooperative bank,349.8939664,349.5803443,0.000836171,0.000835422
the raigad district co operative bank ltd alibag,346.5900038,271.915354,0.000828275,0.000649819
the kodinar taluka cooperative banking union,343.1808276,285.6330457,0.000820128,0.000682601
bank of america,342.0984603,711.9837478,0.000817542,0.001701487
sterling urban cooperative bank,340.4939737,395.0930938,0.000813707,0.000944187
nilgiris district central,338.5859858,338.4742057,0.000809148,0.00080888
vasai janata sahakari bank,334.1787816,348.0461047,0.000798615,0.000831755
shree panchganga nagari sahakari bank,330.7186698,285.8733733,0.000790346,0.000683176
dahod urban cooperative bank,330.4655398,397.8657444,0.000789741,0.000950813
kankaria maninagar nagarik sahakari bank,329.3644462,275.1527157,0.00078711,0.000657556
samata sahakari bank,329.2695852,292.6429348,0.000786883,0.000699353
the junagarh jilla shakari bank,328.3890047,266.444084,0.000784779,0.000636744
surat national coop bank,322.4936348,200.415037,0.00077069,0.000478949
kalyan janata sahakari bank,318.1632192,269.1015435,0.000760342,0.000643095
tumkur grain merchants coop bank,316.8919462,401.5273391,0.000757303,0.000959564
the chikhli urban coop bank,316.7548976,244.989433,0.000756976,0.000585472
nutan nagarik sahakari,316.1134455,273.9780631,0.000755443,0.000654748
mahaveer cooperative urban bank,314.8802192,366.7394906,0.000752496,0.000876428
the kodagu district coop central bank,309.7001901,246.0416454,0.000740117,0.000587986
rajadhani coop urban bank,309.1319755,324.0177468,0.000738759,0.000774332
the business co operative bank,308.9215669,269.5716844,0.000738256,0.000644218
navi mumbai cooperative bank,303.7072347,267.8119552,0.000725795,0.000640013
citizen cooperative bank,302.4554743,338.6900169,0.000722803,0.000809396
jamia cooperative bank,299.6466194,272.507567,0.000716091,0.000651234
jijamata mahila sahakari bank,298.1425747,259.7417263,0.000712497,0.000620727
ramanathapuram district central,296.7041411,330.9036796,0.000709059,0.000790788
mann deshi mahila sahakari bank,296.3041858,284.0952563,0.000708103,0.000678926
lokmangal co op bank ltd solapur,294.9720229,321.4698272,0.00070492,0.000768243
the raichur district central coop bank ltd raichur,290.8227649,262.7935565,0.000695004,0.00062802
