,remitter_value,remitter_value,beneficiary_value,beneficiary_value,remitter_cv,beneficiary_cv,avg_cv
,mean,std,mean,std,,,
entity name,,,,,,,
jodhpur nagrik sahakari bank,3.9380173153684215,1.1688924468146964,5.224662377157895,2.0541861614971237,0.296822576745156,0.3931710823034191,0.34499682952428756
jogindra central cooperative bank,21.98295744611111,5.592807541842424,17.63252049238889,4.713387163541121,0.25441561061802526,0.2673121613881387,0.26086388600308197
jowai cooperative urban bank,1.4071763,,1.5956621,,,,
jp morgan chase,36.09177742,,110.6390261,,,,
jugalkishor tapdiya shree mahesh urban co op,0.20848571,,2.3627112,,,,
junagarh commercial coop bank,0.0,,38.94038804,,,,
kadapa dist coop central,1.615108857,,1.4582956,,,,
kallappanna awade ichalkaranji janata sahkari,149.19568066842103,26.231154491785652,125.4620574631579,20.604925622581202,0.1758171173204599,0.16423232680232322,0.17002472206139158
kalol urban coop bank ltd kalol,0.8125609,,0.3450296,,,,
kalupur commcoop,1331.496485,,1347.973874,,,,
kalyan janata sahakari,346.8807413777778,31.415521446948123,252.15878517222225,22.71935548350651,0.09056577001700532,0.09009940093100223,0.09033258547400377
kalyan janata sahakari bank,318.1632192,,269.1015435,,,,
kalyansagar urban coop bank,0.0,,0.1030263,,,,
kamala coop bank,0.0,,1.3862879,,,,
kanaka mahalakshmi cooperative bank,48.24000938333333,8.259982274334865,47.72860261611111,7.304842450518485,0.17122679659321638,0.15304957719530396,0.16213818689426018
kanaka pattana sahakara bank niyamita,0.0,,0.0272616,,,,
kancheepuram central,26.31270442888889,9.10184486652625,27.13358560888889,8.388987490175467,0.34591065662309023,0.30917356854699135,0.3275421125850408
